title,author,publisher,description,new_this_week,weeks_on_list,isbn,image_url,scrape_date
BECOMING,Michelle Obama,Crown,"The former first lady describes her journey from the South Side of Chicago to the White House, and how she balanced work, family and her husband’s political ascent.",True,6.0,1524763136,https://storage.googleapis.com/du-prd/books/images/9781524763138.jpg,2019-01-01
THE POINT OF IT ALL,"Charles Krauthammer, edited Daniel Krauthammer",Crown Forum,"A collection of essays, speeches and unpublished writings by the late conservative columnist.",True,3.0,1984825488,https://storage.googleapis.com/du-prd/books/images/9781984825483.jpg,2019-01-01
EDUCATED,Tara Westover,Random House,"The daughter of survivalists, who is kept out of school, educates herself enough to leave home for university.",True,44.0,0399590501,https://storage.googleapis.com/du-prd/books/images/9780399590504.jpg,2019-01-01
KILLING THE SS,Bill O'Reilly and Martin Dugard,Holt,A look at the postwar manhunt for members of Hitler’s inner circle.,True,11.0,1250165547,https://storage.googleapis.com/du-prd/books/images/9781250165541.jpg,2019-01-01
SAPIENS,Yuval Noah Harari,Harper,How Homo sapiens became Earth’s dominant species.,True,52.0,0062316095,https://storage.googleapis.com/du-prd/books/images/9780062316097.jpg,2019-01-01
SHADE,Pete Souza,"Little, Brown","The former White House photographer juxtaposes pictures of former President Obama with tweets, headlines and quotes from the Trump administration.",True,8.0,0316421820,https://storage.googleapis.com/du-prd/books/images/9780316421829.jpg,2019-01-01
LEADERSHIP,Doris Kearns Goodwin,Simon & Schuster,"The challenges that shaped the leadership abilities of four presidents: Abraham Lincoln, Theodore Roosevelt, Franklin D. Roosevelt and Lyndon B. Johnson.",True,14.0,1476795924,https://storage.googleapis.com/du-prd/books/images/9781476795928.jpg,2019-01-01
CHURCHILL: WALKING WITH DESTINY,Andrew Roberts,Viking,A biography focusing on what motivated the war leader and how he learned from his mistakes.,True,3.0,1101980990,https://storage.googleapis.com/du-prd/books/images/9781101980996.jpg,2019-01-01
BRIEF ANSWERS TO THE BIG QUESTIONS,Stephen Hawking,Bantam,A collection of essays from the late scientist’s personal archive that address 10 imponderables.,True,10.0,1984819194,https://storage.googleapis.com/du-prd/books/images/9781984819192.jpg,2019-01-01
BEASTIE BOYS BOOK,Michael Diamond and Adam Horovitz,Spiegel & Grau,The story of the New York band who achieved hip hop stardom.,True,8.0,0812995546,https://storage.googleapis.com/du-prd/books/images/9780812995541.jpg,2019-01-01
FEAR,Bob Woodward,Simon & Schuster,"Based on hours of interviews with sources, the Pulitzer Prize-winning journalist describes debates and decision-making within the Trump White House.",True,15.0,1501175513,https://storage.googleapis.com/du-prd/books/images/9781501175534.jpg,2019-01-01
SHIP OF FOOLS,Tucker Carlson,Free Press,The Fox News anchor argues that America’s ruling class is out of touch with everyday citizens.,True,12.0,1501183664,https://storage.googleapis.com/du-prd/books/images/9781501183669.jpg,2019-01-01
THE FIFTH RISK,Michael Lewis,Norton,"The author of ""The Big Short"" examines how the Trump administration staffs its federal agencies.",True,10.0,1324002646,https://storage.googleapis.com/du-prd/books/images/9781324002642.jpg,2019-01-01
OBAMA,Pete Souza,"Little, Brown","More than 300 pictures of the former president by his White House photographer, with behind-the-scenes stories.",True,17.0,0316512583,https://storage.googleapis.com/du-prd/books/images/9780316512589.jpg,2019-01-01
BAD BLOOD,John Carreyrou,Knopf,"The rise and fall of Theranos, the biotech startup that failed to deliver on its promise to make blood testing more efficient.",True,20.0,152473165X,https://storage.googleapis.com/du-prd/books/images/9781524731663.jpg,2019-01-01
BECOMING,Michelle Obama,Crown,"The former first lady describes her journey from the South Side of Chicago to the White House, and how she balanced work, family and her husband’s political ascent.",True,7.0,1524763136,https://storage.googleapis.com/du-prd/books/images/9781524763138.jpg,2019-01-08
EDUCATED,Tara Westover,Random House,"The daughter of survivalists, who is kept out of school, educates herself enough to leave home for university.",True,45.0,0399590501,https://storage.googleapis.com/du-prd/books/images/9780399590504.jpg,2019-01-08
THE POINT OF IT ALL,"Charles Krauthammer, edited Daniel Krauthammer",Crown Forum,"A collection of essays, speeches and unpublished writings by the late conservative columnist.",True,4.0,1984825488,https://storage.googleapis.com/du-prd/books/images/9781984825483.jpg,2019-01-08
SAPIENS,Yuval Noah Harari,Harper,How Homo sapiens became Earth’s dominant species.,True,53.0,0062316095,https://storage.googleapis.com/du-prd/books/images/9780062316097.jpg,2019-01-08
KILLING THE SS,Bill O'Reilly and Martin Dugard,Holt,A look at the postwar manhunt for members of Hitler’s inner circle.,True,12.0,1250165547,https://storage.googleapis.com/du-prd/books/images/9781250165541.jpg,2019-01-08
BAD BLOOD,John Carreyrou,Knopf,"The rise and fall of Theranos, the biotech startup that failed to deliver on its promise to make blood testing more efficient.",True,21.0,152473165X,https://storage.googleapis.com/du-prd/books/images/9781524731663.jpg,2019-01-08
GRANT,Ron Chernow,Penguin Press,A biography of the Union general of the Civil War and two-term president of the United States.,True,18.0,159420487X,https://storage.googleapis.com/du-prd/books/images/9781594204876.jpg,2019-01-08
CHURCHILL: WALKING WITH DESTINY,Andrew Roberts,Viking,A biography focusing on what motivated the war leader and how he learned from his mistakes.,True,4.0,1101980990,https://storage.googleapis.com/du-prd/books/images/9781101980996.jpg,2019-01-08
BRIEF ANSWERS TO THE BIG QUESTIONS,Stephen Hawking,Bantam,A collection of essays from the late scientist’s personal archive that address 10 imponderables.,True,11.0,1984819194,https://storage.googleapis.com/du-prd/books/images/9781984819192.jpg,2019-01-08
FEAR,Bob Woodward,Simon & Schuster,"Based on hours of interviews with sources, the Pulitzer Prize-winning journalist describes debates and decision-making within the Trump White House.",True,16.0,1501175513,https://storage.googleapis.com/du-prd/books/images/9781501175534.jpg,2019-01-08
THE INNOCENT MAN,John Grisham,Bantam/Dell,Grisham's first nonfiction book concerns a man wrongly sentenced to death.,True,,0345532015,https://storage.googleapis.com/du-prd/books/images/9780440243830.jpg,2019-01-08
